id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6075,Bennett,Cedar County,IA,Iowa,52721,City,41.7403,-90.97376,563,401,184,50909,505747,0,America/Chicago
6076,Bentley,Pottawattamie County,IA,Iowa,51559,CDP,41.37694,-95.62028,712,106,40,96250,2658783,0,America/Chicago
6077,Benton,Ringgold County,IA,Iowa,50835,City,40.70332,-94.35829,641,42,21,38750,1740956,5631,America/Chicago
6078,Berkley,Boone County,IA,Iowa,50220,City,41.94498,-94.11468,515,32,10,50625,536300,0,America/Chicago
6079,Bernard,Dubuque County,IA,Iowa,52032,City,42.31223,-90.8318,563,109,63,40938,237207,0,America/Chicago
6080,Bertram,Linn County,IA,Iowa,52403,City,41.94973,-91.53545,319,300,121,86250,4345642,0,America/Chicago
6081,Bettendorf,Scott County,IA,Iowa,52722,City,41.52448,-90.51569,563,35122,13635,69937,55157833,2962708,America/Chicago
6082,Bevington,Madison County/Warren County,IA,Iowa,50240,City,41.35995,-93.78424,515,62,15,76042,1167330,19620,America/Chicago
6083,Birmingham,Van Buren County,IA,Iowa,52535,City,40.87891,-91.94712,319,439,202,40625,2733974,5255,America/Chicago
6084,Blairsburg,Hamilton County,IA,Iowa,50034,City,42.47998,-93.64299,515,210,60,38750,1671694,0,America/Chicago
6085,Blairstown,Benton County,IA,Iowa,52209,City,41.90944,-92.08435,319,673,280,48500,1338826,0,America/Chicago
6086,Blakesburg,Wapello County,IA,Iowa,52536,City,40.96223,-92.63408,641,287,122,34643,695902,0,America/Chicago
6087,Blanchard,Page County,IA,Iowa,51630,City,40.57916,-95.22165,712,37,16,51250,590412,0,America/Chicago
6088,Blencoe,Monona County,IA,Iowa,51523,City,41.93027,-96.08085,712,217,99,43250,1961393,0,America/Chicago
6089,Blockton,Taylor County,IA,Iowa,50836,City,40.61555,-94.47718,641,189,81,33068,1672438,11144,America/Chicago
6090,Bloomfield,Davis County,IA,Iowa,52537,City,40.75169,-92.41491,641,2632,1100,39397,5852253,70306,America/Chicago
6091,Blue Grass,Scott County/Muscatine County,IA,Iowa,52726,City,41.50958,-90.76488,563,1623,598,62100,7564286,0,America/Chicago
6092,Bode,Humboldt County,IA,Iowa,50519,City,42.8683,-94.28969,515,297,142,33000,1055049,0,America/Chicago
6093,Bolan,Worth County,IA,Iowa,50448,CDP,43.37191,-93.11937,641,29,9,43335,7489423,0,America/Chicago
6094,Bonaparte,Van Buren County,IA,Iowa,52620,City,40.69809,-91.80322,319,425,167,35208,945922,0,America/Chicago
6095,Bondurant,Polk County,IA,Iowa,50035,City,41.70054,-93.46216,515,4806,1298,59406,22138396,56530,America/Chicago
6096,Boone,Boone County,IA,Iowa,"50036, 50037, 50099",City,42.0597,-93.88023,515,12633,5197,45346,23545063,9923,America/Chicago
6097,Bouton,Dallas County,IA,Iowa,50039,City,41.85137,-94.00912,515,135,54,36389,279710,0,America/Chicago
